geoid,tract_name,as_of,nowcast_gap,baseline_gap,delta,uncertainty,coverage_score
36119000101,Census Tract 1.01,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119000103,Census Tract 1.03,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119000104,Census Tract 1.04,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119000202,Census Tract 2.02,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119000203,Census Tract 2.03,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119000204,Census Tract 2.04,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119000205,Census Tract 2.05,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119000300,Census Tract 3,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119000401,Census Tract 4.01,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119000403,Census Tract 4.03,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119000404,Census Tract 4.04,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119000501,Census Tract 5.01,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119000502,Census Tract 5.02,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119000601,Census Tract 6.01,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119000602,Census Tract 6.02,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119000701,Census Tract 7.01,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119000702,Census Tract 7.02,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119000801,Census Tract 8.01,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119000802,Census Tract 8.02,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119000803,Census Tract 8.03,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119000900,Census Tract 9,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119001000,Census Tract 10,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119001101,Census Tract 11.01,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119001102,Census Tract 11.02,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119001200,Census Tract 12,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119001301,Census Tract 13.01,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119001302,Census Tract 13.02,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119001304,Census Tract 13.04,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119001305,Census Tract 13.05,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119001401,Census Tract 14.01,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119001402,Census Tract 14.02,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119001403,Census Tract 14.03,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119001502,Census Tract 15.02,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119001503,Census Tract 15.03,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119001504,Census Tract 15.04,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119001505,Census Tract 15.05,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119001600,Census Tract 16,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119001701,Census Tract 17.01,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119001702,Census Tract 17.02,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119001800,Census Tract 18,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119001900,Census Tract 19,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119002000,Census Tract 20,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119002101,Census Tract 21.01,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119002103,Census Tract 21.03,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119002104,Census Tract 21.04,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119002105,Census Tract 21.05,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119002106,Census Tract 21.06,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119002107,Census Tract 21.07,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119002201,Census Tract 22.01,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119002202,Census Tract 22.02,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119002203,Census Tract 22.03,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119002204,Census Tract 22.04,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119002300,Census Tract 23,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119002401,Census Tract 24.01,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119002402,Census Tract 24.02,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119002403,Census Tract 24.03,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119002404,Census Tract 24.04,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119002405,Census Tract 24.05,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119002600,Census Tract 26,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119002700,Census Tract 27,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119002800,Census Tract 28,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119002900,Census Tract 29,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119003000,Census Tract 30,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119003100,Census Tract 31,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119003200,Census Tract 32,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119003300,Census Tract 33,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119003400,Census Tract 34,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119003500,Census Tract 35,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119003600,Census Tract 36,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119003700,Census Tract 37,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119003800,Census Tract 38,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119003900,Census Tract 39,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119004001,Census Tract 40.01,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119004002,Census Tract 40.02,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119004100,Census Tract 41,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119004200,Census Tract 42,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119004500,Census Tract 45,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119004600,Census Tract 46,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119004700,Census Tract 47,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119004801,Census Tract 48.01,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119004802,Census Tract 48.02,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119004900,Census Tract 49,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119005001,Census Tract 50.01,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119005002,Census Tract 50.02,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119005100,Census Tract 51,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119005200,Census Tract 52,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119005300,Census Tract 53,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119005400,Census Tract 54,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119005500,Census Tract 55,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119005600,Census Tract 56,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119005702,Census Tract 57.02,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119005703,Census Tract 57.03,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119005704,Census Tract 57.04,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119005800,Census Tract 58,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119005901,Census Tract 59.01,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119005902,Census Tract 59.02,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119006000,Census Tract 60,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119006100,Census Tract 61,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119006200,Census Tract 62,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119006301,Census Tract 63.01,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119006302,Census Tract 63.02,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119006400,Census Tract 64,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119006500,Census Tract 65,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119006600,Census Tract 66,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119006700,Census Tract 67,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119006801,Census Tract 68.01,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119006802,Census Tract 68.02,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119006900,Census Tract 69,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119007000,Census Tract 70,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119007100,Census Tract 71,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119007200,Census Tract 72,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119007300,Census Tract 73,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119007401,Census Tract 74.01,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119007402,Census Tract 74.02,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119007500,Census Tract 75,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119007600,Census Tract 76,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119007700,Census Tract 77,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119007800,Census Tract 78,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119007901,Census Tract 79.01,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119007902,Census Tract 79.02,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
